bare,translations_en
тот,that
этот,this
который,which
такой,such
какой,what
мой,my
самый,the very
большой,big
другой,other
свой,our
сам,ourselves
первый,first
должный,due
новый,new
каждый,each
хороший,good
нужный,necessary
последний,last
второй,second
старый,old
твой,your
белый,white
главный,main
никакой,no
некоторый,some
далёкий,distant
маленький,small
советский,Soviet
русский,Russian
полный,full
любой,any
известный,well-known
общий,general
прошлый,past
похожий,resembling
красный,red
высокий,high
ранний,early
целый,intact
молодой,young
огромный,enormous
настоящий,present
живой,living
чёрный,black
собственный,own
разный,different
третий,third
великий,great
следующий,next
тяжёлый,heavy
готовый,ready
личный,personal
длинный,long
сильный,strong
знакомый,familiar
иной,different
скорый,quick
простой,simple
военный,military
кой,which
зелёный,green
лучший,better
странный,strange
страшный,terrible
единственный,only
российский,Russian
короткий,short
данный,given
необходимый,necessary
добрый,kind
тёмный,dark
серый,grey
основной,fundamental
лёгкий,light
бывший,former
подобный,like
широкий,wide
прежний,former
небольшой,small
пустой,empty
особый,special
красивый,beautiful
близкий,near
чистый,clean
человеческий,human
худой,lean
чужой,strange
старший,elder
толстый,thick
правый,right
больной,sick
многие,many
всякое,every type of
рабочий,worker
крупный,large
открытый,open
холодный,cold
местный,local
родной,own
жёлтый,yellow
золотой,gold
политический,political
обычный,usual
важный,important
железный,iron
остальной,the rest of
синий,dark blue
тёплый,warm
немецкий,German
частый,frequent
поздний,late
московский,Moscow
уверенный,assured
неизвестный,unknown
тонкий,thin
внутренний,inside
верный,correct
прекрасный,beautiful
американский,American
чей,whose
серьёзный,serious
быстрый,quick
связанный,related
долгий,long
тихий,quiet
глубокий,deep
левый,left
пришлый,alien
горячий,hot
милый,nice
слабый,weak
голубой,blue
мелкий,small
любимый,dear
детский,childish
счастливый,happy
весёлый,merry
средний,middle
современный,contemporary
способный,able
острый,sharp
свободный,free
высший,higher
прямой,straight
ночной,night
сухой,dry
очередной,next
свежий,fresh
мокрый,wet
боевой,battle
спокойный,quiet
здоровый,healthy
западный,west
дорогой,dear
крайний,extreme
интересный,interesting
мировой,first-rate
малый,small
узкий,narrow
умный,clever
виноватый,guilty
четвёртый,fourth
плохой,bad
мёртвый,dead
специальный,special
точный,exact
животный,organic
некий,some
различный,different
женский,female
знаменитый,famous
нормальный,normal
крепкий,strong
редкий,thin
мягкий,soft
городской,town
социальный,social
пошлый,commonplace
общественный,public
отдельный,separate
экономический,economic
голый,naked
круглый,round
грязный,dirty
светлый,light
деревянный,wooden
лишний,superfluous
многое,a great deal
английский,English
нынешний,present
научный,scientific
ближайший,nearest
яркий,bright
учёный,learned
соседний,neighbouring
пятый,fifth
определённый,definite
возможный,possible
технический,technical
видимый,visible
злой,wicked
дикий,wild
народный,popular
морской,sea
сложный,complicated
исторический,historical
дальний,distant
реальный,real
национальный,national
ясный,clear
рыжий,red
пьяный,drunk
внешний,outward
задний,back
летний,Adjective of лето
опасный,dangerous
каменный,lifeless
северный,north
бедный,poor
постоянный,constant
международный,international
принятый,accepted
центральный,central
закрытый,closed
единый,united
трудный,difficult
древний,ancient
густой,thick
вечный,eternal
прочий,other
положенный,fixed
иностранный,foreign
низкий,low
французский,French
угодный,welcome
взрослый,adult
глупый,foolish
тайный,secret
розовый,pink
дальнейший,further
младший,younger
верхний,upper
приятный,nice
нервный,nervous
нижний,lower
неожиданный,unexpected
занятый,busy
мощный,powerful
довольный,satisfied
твёрдый,hard
вынужденный,forced
больший,greater
одетый,dressed
солнечный,sun
домашний,house
богатый,rich
